0_1 | 1
3_1 | v^2*z^2 + -1*v^4 + 2*v^2
4_1 | -1*z^2 + v^2 + -1 + v^-2
5_1, 10_132 | v^4*z^4 + -1*v^6*z^2 + 4*v^4*z^2 + -2*v^6 + 3*v^4
5_2 | v^4*z^2 + v^2*z^2 + -1*v^6 + v^4 + v^2
6_1 | -1*v^2*z^2 + -1*z^2 + v^4 + -1*v^2 + v^-2
6_2, 12n_25 | -1*v^2*z^4 + v^4*z^2 + -3*v^2*z^2 + z^2 + v^4 + -2*v^2 + 2
6_3 | z^4 + -1*v^2*z^2 + 3*z^2 + -1*v^-2*z^2 + -1*v^2 + 3 + -1*v^-2
7_1, 12n_749 | v^6*z^6 + -1*v^8*z^4 + 6*v^6*z^4 + -4*v^8*z^2 + 10*v^6*z^2 + -3*v^8 + 4*v^6
7_2 | v^6*z^2 + v^4*z^2 + v^2*z^2 + -1*v^8 + v^6 + v^2
7_3, 12n_523 | v^6*z^4 + v^4*z^4 + -1*v^8*z^2 + 3*v^6*z^2 + 3*v^4*z^2 + -2*v^8 + 2*v^6 + v^4
7_4 | v^6*z^2 + 2*v^4*z^2 + v^2*z^2 + -1*v^8 + 2*v^4
7_5, 13n_3238 | v^6*z^4 + v^4*z^4 + -1*v^8*z^2 + 2*v^6*z^2 + 3*v^4*z^2 + -1*v^8 + 2*v^4
7_6 | -1*v^2*z^4 + 2*v^4*z^2 + -2*v^2*z^2 + z^2 + -1*v^6 + 2*v^4 + -1*v^2 + 1
7_7 | z^4 + -1*v^2*z^2 + 2*z^2 + -2*v^-2*z^2 + 2 + -2*v^-2 + v^-4
8_1 | -1*v^4*z^2 + -1*v^2*z^2 + -1*z^2 + v^6 + -1*v^4 + v^-2
8_2, 12n_340 | -1*v^4*z^6 + v^6*z^4 + -5*v^4*z^4 + v^2*z^4 + 3*v^6*z^2 + -7*v^4*z^2 + 4*v^2*z^2 + v^6 + -3*v^4 + 3*v^2
8_3 | -1*v^2*z^2 + -2*z^2 + -1*v^-2*z^2 + v^4 + -1 + v^-4
8_4, 13n_2067 | -1*z^4 + -1*v^-2*z^4 + v^2*z^2 + -3*z^2 + -2*v^-2*z^2 + v^-4*z^2 + 2*v^2 + -2 + v^-4
8_5, 13n_789 | -1*v^4*z^6 + v^6*z^4 + -5*v^4*z^4 + v^2*z^4 + 3*v^6*z^2 + -8*v^4*z^2 + 4*v^2*z^2 + 2*v^6 + -5*v^4 + 4*v^2
8_6 | -1*v^4*z^4 + -1*v^2*z^4 + v^6*z^2 + -2*v^4*z^2 + -2*v^2*z^2 + z^2 + v^6 + -1*v^4 + -1*v^2 + 2
8_7, 13n_1588, 13n_4010 | v^-2*z^6 + -1*z^4 + 5*v^-2*z^4 + -1*v^-4*z^4 + -3*z^2 + 8*v^-2*z^2 + -3*v^-4*z^2 + -1 + 4*v^-2 + -2*v^-4
8_8, 10_129, 13n_1836 | z^4 + v^-2*z^4 + -1*v^2*z^2 + 2*z^2 + 2*v^-2*z^2 + -1*v^-4*z^2 + -1*v^2 + 2 + v^-2 + -1*v^-4
8_9 | -1*z^6 + v^2*z^4 + -5*z^4 + v^-2*z^4 + 3*v^2*z^2 + -8*z^2 + 3*v^-2*z^2 + 2*v^2 + -3 + 2*v^-2
8_10 | v^-2*z^6 + -1*z^4 + 5*v^-2*z^4 + -1*v^-4*z^4 + -3*z^2 + 9*v^-2*z^2 + -3*v^-4*z^2 + -2 + 6*v^-2 + -3*v^-4
8_11 | -1*v^4*z^4 + -1*v^2*z^4 + v^6*z^2 + -2*v^4*z^2 + -1*v^2*z^2 + z^2 + v^6 + -2*v^4 + v^2 + 1
8_12 | z^4 + -2*v^2*z^2 + z^2 + -2*v^-2*z^2 + v^4 + -1*v^2 + 1 + -1*v^-2 + v^-4
8_13 | z^4 + v^-2*z^4 + -1*v^2*z^2 + z^2 + 2*v^-2*z^2 + -1*v^-4*z^2 + 2*v^-2 + -1*v^-4
8_14 | -1*v^4*z^4 + -1*v^2*z^4 + v^6*z^2 + -1*v^4*z^2 + -1*v^2*z^2 + z^2 + 1
8_15 | 2*v^6*z^4 + v^4*z^4 + -3*v^8*z^2 + 5*v^6*z^2 + 2*v^4*z^2 + v^10 + -4*v^8 + 3*v^6 + v^4
8_16, 10_156 | v^-2*z^6 + -1*z^4 + 4*v^-2*z^4 + -1*v^-4*z^4 + -2*z^2 + 5*v^-2*z^2 + -2*v^-4*z^2 + 2*v^-2 + -1*v^-4
8_17 | -1*z^6 + v^2*z^4 + -4*z^4 + v^-2*z^4 + 2*v^2*z^2 + -5*z^2 + 2*v^-2*z^2 + v^2 + -1 + v^-2
8_18 | -1*z^6 + v^2*z^4 + -3*z^4 + v^-2*z^4 + v^2*z^2 + -1*z^2 + v^-2*z^2 + -1*v^2 + 3 + -1*v^-2
8_19 | v^6*z^6 + -1*v^8*z^4 + 6*v^6*z^4 + -5*v^8*z^2 + 10*v^6*z^2 + v^10 + -5*v^8 + 5*v^6
8_20 | v^-2*z^4 + -1*z^2 + 4*v^-2*z^2 + -1*v^-4*z^2 + -1 + 4*v^-2 + -2*v^-4
8_21 | -1*v^4*z^4 + v^6*z^2 + -3*v^4*z^2 + 2*v^2*z^2 + v^6 + -3*v^4 + 3*v^2
9_1 | v^8*z^8 + -1*v^10*z^6 + 8*v^8*z^6 + -6*v^10*z^4 + 21*v^8*z^4 + -10*v^10*z^2 + 20*v^8*z^2 + -4*v^10 + 5*v^8
9_2 | v^8*z^2 + v^6*z^2 + v^4*z^2 + v^2*z^2 + -1*v^10 + v^8 + v^2
9_3 | v^8*z^6 + v^6*z^6 + -1*v^10*z^4 + 5*v^8*z^4 + 5*v^6*z^4 + -4*v^10*z^2 + 7*v^8*z^2 + 6*v^6*z^2 + -3*v^10 + 3*v^8 + v^6
9_4 | v^8*z^4 + v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + 3*v^8*z^2 + 2*v^6*z^2 + 3*v^4*z^2 + -2*v^10 + 2*v^8 + v^4
9_5 | v^8*z^2 + 2*v^6*z^2 + 2*v^4*z^2 + v^2*z^2 + -1*v^10 + v^6 + v^4
9_6 | v^8*z^6 + v^6*z^6 + -1*v^10*z^4 + 4*v^8*z^4 + 5*v^6*z^4 + -3*v^10*z^2 + 3*v^8*z^2 + 7*v^6*z^2 + -1*v^10 + -1*v^8 + 3*v^6
9_7 | v^8*z^4 + v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + 2*v^8*z^2 + v^6*z^2 + 3*v^4*z^2 + -1*v^10 + v^8 + -1*v^6 + 2*v^4
9_8, 12n_65 | -1*v^2*z^4 + -1*z^4 + 2*v^4*z^2 + -1*v^2*z^2 + -2*z^2 + v^-2*z^2 + -1*v^6 + 2*v^4 + -1 + v^-2
9_9 | v^8*z^6 + v^6*z^6 + -1*v^10*z^4 + 4*v^8*z^4 + 5*v^6*z^4 + -3*v^10*z^2 + 4*v^8*z^2 + 7*v^6*z^2 + -2*v^10 + v^8 + 2*v^6
9_10 | v^8*z^4 + 2*v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + 2*v^8*z^2 + 5*v^6*z^2 + 2*v^4*z^2 + -2*v^10 + v^8 + 2*v^6
